"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"147","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5074","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"148","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5144","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"149","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5206","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"150","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5532","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"151","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5532","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"152","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5602","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"153","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5664","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"154","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5996","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"155","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6019","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"156","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6053","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"157","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6096","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"158","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6118","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"159","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6145","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"160","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6455","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"161","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6505","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"162","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6527","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"163","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6554","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"164","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6868","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"165","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6868","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"166","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6933","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"167","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6960","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"168","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7280","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"169","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7303","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"170","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7353","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"171","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7380","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
